Bootstrap,Threshold,PQ,PC,F1,F1*,Fractions,Brand,Webshop1&Webshop2,b,r,Similarity_threshold,Clusters,Duplicate_pair
3,0.75,0.8571428571428571,1.0,0.923076923076923,0.0377471539844218,0.02766798418972332,Coby,newegg.com&bestbuy.com,97,6,0.6,1,112
4,1.0,0.6666666666666666,0.8571428571428571,0.75,0.03910681955340978,0.03557312252964427,Coby,newegg.com&bestbuy.com,97,6,0.6,1,112
Average,Optimal,0.7726190476190476,0.8269841269841269,0.794343891402715,0.03585897377408929,0.0308300395256917,Coby,newegg.com&bestbuy.com,97,6,0.6,1,112
0,1.0,0.5,0.6666666666666666,0.5714285714285715,0.0316205533596838,0.0380952380952381,Coby,newegg.com&bestbuy.com,97,6,0.8,4,25
1,0.75,0.6363636363636364,0.875,0.7368421052631579,0.05595542944148384,0.05238095238095238,Coby,newegg.com&bestbuy.com,97,6,0.8,4,25
2,1.0,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.0429430289149728,0.05714285714285714,Coby,newegg.com&bestbuy.com,97,6,0.8,4,25
3,0.75,0.7142857142857143,1.0,0.8333333333333333,0.040871934604904625,0.03333333333333333,Coby,newegg.com&bestbuy.com,97,6,0.8,4,25
4,1.0,0.7,1.0,0.8235294117647058,0.05722070844686647,0.047619047619047616,Coby,newegg.com&bestbuy.com,97,6,0.8,4,25
Average,Optimal,0.5934632034632035,0.8511904761904763,0.6982898422526904,0.04572233095358231,0.045714285714285714,Coby,newegg.com&bestbuy.com,97,6,0.8,4,25
0,1.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.0313638807575124,0.02766798418972332,Coby,newegg.com&bestbuy.com,194,3,0.4,1,198
1,0.75,0.875,0.7777777777777778,0.823529411764706,0.038327412573737896,0.03162055335968379,Coby,newegg.com&bestbuy.com,194,3,0.4,1,198
2,0.75,0.75,0.6666666666666666,0.7058823529411765,0.032749602001364564,0.03162055335968379,Coby,newegg.com&bestbuy.com,194,3,0.4,1,198
3,0.75,0.8571428571428571,1.0,0.923076923076923,0.0377471539844218,0.02766798418972332,Coby,newegg.com&bestbuy.com,194,3,0.4,1,198
4,1.0,0.6666666666666666,0.8571428571428571,0.75,0.03910681955340978,0.03557312252964427,Coby,newegg.com&bestbuy.com,194,3,0.4,1,198
Average,Optimal,0.7726190476190476,0.8269841269841269,0.794343891402715,0.03585897377408929,0.0308300395256917,Coby,newegg.com&bestbuy.com,194,3,0.4,1,198
0,1.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.0313638807575124,0.02766798418972332,Coby,newegg.com&bestbuy.com,194,3,0.6,1,112
1,0.75,0.875,0.7777777777777778,0.823529411764706,0.038327412573737896,0.03162055335968379,Coby,newegg.com&bestbuy.com,194,3,0.6,1,112
2,0.75,0.75,0.6666666666666666,0.7058823529411765,0.032749602001364564,0.03162055335968379,Coby,newegg.com&bestbuy.com,194,3,0.6,1,112
3,0.75,0.8571428571428571,1.0,0.923076923076923,0.0377471539844218,0.02766798418972332,Coby,newegg.com&bestbuy.com,194,3,0.6,1,112
4,1.0,0.6666666666666666,0.8571428571428571,0.75,0.03910681955340978,0.03557312252964427,Coby,newegg.com&bestbuy.com,194,3,0.6,1,112
Average,Optimal,0.7726190476190476,0.8269841269841269,0.794343891402715,0.03585897377408929,0.0308300395256917,Coby,newegg.com&bestbuy.com,194,3,0.6,1,112
0,1.0,0.5,0.6666666666666666,0.5714285714285715,0.0316205533596838,0.0380952380952381,Coby,newegg.com&bestbuy.com,194,3,0.8,4,25
1,0.75,0.6363636363636364,0.875,0.7368421052631579,0.05595542944148384,0.05238095238095238,Coby,newegg.com&bestbuy.com,194,3,0.8,4,25
2,1.0,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.0429430289149728,0.05714285714285714,Coby,newegg.com&bestbuy.com,194,3,0.8,4,25
3,0.75,0.7142857142857143,1.0,0.8333333333333333,0.040871934604904625,0.03333333333333333,Coby,newegg.com&bestbuy.com,194,3,0.8,4,25
4,1.0,0.7,1.0,0.8235294117647058,0.05722070844686647,0.047619047619047616,Coby,newegg.com&bestbuy.com,194,3,0.8,4,25
Average,Optimal,0.5934632034632035,0.8511904761904763,0.6982898422526904,0.04572233095358231,0.045714285714285714,Coby,newegg.com&bestbuy.com,194,3,0.8,4,25
0,1.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.0313638807575124,0.02766798418972332,Coby,newegg.com&bestbuy.com,582,1,0.4,1,198
1,0.75,0.875,0.7777777777777778,0.823529411764706,0.038327412573737896,0.03162055335968379,Coby,newegg.com&bestbuy.com,582,1,0.4,1,198
2,0.75,0.75,0.6666666666666666,0.7058823529411765,0.032749602001364564,0.03162055335968379,Coby,newegg.com&bestbuy.com,582,1,0.4,1,198
3,0.75,0.8571428571428571,1.0,0.923076923076923,0.0377471539844218,0.02766798418972332,Coby,newegg.com&bestbuy.com,582,1,0.4,1,198
4,1.0,0.6666666666666666,0.8571428571428571,0.75,0.03910681955340978,0.03557312252964427,Coby,newegg.com&bestbuy.com,582,1,0.4,1,198
Average,Optimal,0.7726190476190476,0.8269841269841269,0.794343891402715,0.03585897377408929,0.0308300395256917,Coby,newegg.com&bestbuy.com,582,1,0.4,1,198
0,1.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.0313638807575124,0.02766798418972332,Coby,newegg.com&bestbuy.com,582,1,0.6,1,112
1,0.75,0.875,0.7777777777777778,0.823529411764706,0.038327412573737896,0.03162055335968379,Coby,newegg.com&bestbuy.com,582,1,0.6,1,112
2,0.75,0.75,0.6666666666666666,0.7058823529411765,0.032749602001364564,0.03162055335968379,Coby,newegg.com&bestbuy.com,582,1,0.6,1,112
3,0.75,0.8571428571428571,1.0,0.923076923076923,0.0377471539844218,0.02766798418972332,Coby,newegg.com&bestbuy.com,582,1,0.6,1,112
4,1.0,0.6666666666666666,0.8571428571428571,0.75,0.03910681955340978,0.03557312252964427,Coby,newegg.com&bestbuy.com,582,1,0.6,1,112
Average,Optimal,0.7726190476190476,0.8269841269841269,0.794343891402715,0.03585897377408929,0.0308300395256917,Coby,newegg.com&bestbuy.com,582,1,0.6,1,112
0,1.0,0.5,0.6666666666666666,0.5714285714285715,0.0316205533596838,0.0380952380952381,Coby,newegg.com&bestbuy.com,582,1,0.8,4,25
1,0.75,0.6363636363636364,0.875,0.7368421052631579,0.05595542944148384,0.05238095238095238,Coby,newegg.com&bestbuy.com,582,1,0.8,4,25
2,1.0,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.0429430289149728,0.05714285714285714,Coby,newegg.com&bestbuy.com,582,1,0.8,4,25
3,0.75,0.7142857142857143,1.0,0.8333333333333333,0.040871934604904625,0.03333333333333333,Coby,newegg.com&bestbuy.com,582,1,0.8,4,25
4,1.0,0.7,1.0,0.8235294117647058,0.05722070844686647,0.047619047619047616,Coby,newegg.com&bestbuy.com,582,1,0.8,4,25
Average,Optimal,0.5934632034632035,0.8511904761904763,0.6982898422526904,0.04572233095358231,0.045714285714285714,Coby,newegg.com&bestbuy.com,582,1,0.8,4,25
0,0.75,0.6666666666666666,1.0,0.8,0.07692307692307691,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,97,6,0.4,1,45
1,0.75,1.0,1.0,1.0,0.0967741935483871,0.06666666666666667,SunBriteTV,bestbuy.com&newegg.com,97,6,0.4,1,45
