Bootstrap,Threshold,PQ,PC,F1,F1*,Fractions,Brand,Webshop1&Webshop2,b,r,Similarity_threshold,Clusters,Duplicate_pair
Average,Optimal,0.6894565217391305,0.7402923976608188,0.7063591912250562,0.01432593195227167,0.013784461152882205,Sony,bestbuy.com&amazon.com,194,3,0.4,1,936
0,0.75,0.7,0.7,0.7,0.013041163946061037,0.012531328320802004,Sony,bestbuy.com&amazon.com,194,3,0.6,1,770
1,0.75,0.782608695652174,0.75,0.7659574468085107,0.016403113333802916,0.014411027568922305,Sony,bestbuy.com&amazon.com,194,3,0.6,1,770
2,0.75,0.5,0.7777777777777778,0.6086956521739131,0.01580135440180587,0.017543859649122806,Sony,bestbuy.com&amazon.com,194,3,0.6,1,770
3,0.75,0.6521739130434783,0.7894736842105263,0.7142857142857143,0.0152875687694418,0.014411027568922305,Sony,bestbuy.com&amazon.com,194,3,0.6,1,770
4,0.75,0.8125,0.6842105263157895,0.742857142857143,0.011096459310246717,0.010025062656641603,Sony,bestbuy.com&amazon.com,194,3,0.6,1,770
Average,Optimal,0.6894565217391305,0.7402923976608188,0.7063591912250562,0.01432593195227167,0.013784461152882205,Sony,bestbuy.com&amazon.com,194,3,0.6,1,770
0,0.75,0.5,0.75,0.6,0.014359792580773831,0.01616161616161616,Sony,bestbuy.com&amazon.com,194,3,0.8,4,406
1,0.75,0.6296296296296297,0.8947368421052632,0.7391304347826088,0.019920501803644047,0.01818181818181818,Sony,bestbuy.com&amazon.com,194,3,0.8,4,406
2,0.75,0.5909090909090909,0.6190476190476191,0.6046511627906977,0.01327416251030908,0.014814814814814815,Sony,bestbuy.com&amazon.com,194,3,0.8,4,406
3,0.75,0.6363636363636364,1.0,0.7777777777777778,0.017128874388254486,0.014814814814814815,Sony,bestbuy.com&amazon.com,194,3,0.8,4,406
4,0.75,0.5909090909090909,0.6842105263157895,0.6341463414634148,0.013930293580250306,0.014814814814814815,Sony,bestbuy.com&amazon.com,194,3,0.8,4,406
Average,Optimal,0.5895622895622895,0.7895989974937343,0.6711411433628998,0.01572272497264635,0.01575757575757576,Sony,bestbuy.com&amazon.com,194,3,0.8,4,406
0,0.75,0.7,0.7,0.7,0.013041163946061037,0.012531328320802004,Sony,bestbuy.com&amazon.com,582,1,0.4,1,936
1,0.75,0.782608695652174,0.75,0.7659574468085107,0.016403113333802916,0.014411027568922305,Sony,bestbuy.com&amazon.com,582,1,0.4,1,936
2,0.75,0.5,0.7777777777777778,0.6086956521739131,0.01580135440180587,0.017543859649122806,Sony,bestbuy.com&amazon.com,582,1,0.4,1,936
3,0.75,0.6521739130434783,0.7894736842105263,0.7142857142857143,0.0152875687694418,0.014411027568922305,Sony,bestbuy.com&amazon.com,582,1,0.4,1,936
4,0.75,0.8125,0.6842105263157895,0.742857142857143,0.011096459310246717,0.010025062656641603,Sony,bestbuy.com&amazon.com,582,1,0.4,1,936
Average,Optimal,0.6894565217391305,0.7402923976608188,0.7063591912250562,0.01432593195227167,0.013784461152882205,Sony,bestbuy.com&amazon.com,582,1,0.4,1,936
0,0.75,0.7,0.7,0.7,0.013041163946061037,0.012531328320802004,Sony,bestbuy.com&amazon.com,582,1,0.6,1,770
1,0.75,0.782608695652174,0.75,0.7659574468085107,0.016403113333802916,0.014411027568922305,Sony,bestbuy.com&amazon.com,582,1,0.6,1,770
2,0.75,0.5,0.7777777777777778,0.6086956521739131,0.01580135440180587,0.017543859649122806,Sony,bestbuy.com&amazon.com,582,1,0.6,1,770
3,0.75,0.6521739130434783,0.7894736842105263,0.7142857142857143,0.0152875687694418,0.014411027568922305,Sony,bestbuy.com&amazon.com,582,1,0.6,1,770
4,0.75,0.8125,0.6842105263157895,0.742857142857143,0.011096459310246717,0.010025062656641603,Sony,bestbuy.com&amazon.com,582,1,0.6,1,770
Average,Optimal,0.6894565217391305,0.7402923976608188,0.7063591912250562,0.01432593195227167,0.013784461152882205,Sony,bestbuy.com&amazon.com,582,1,0.6,1,770
0,0.75,0.5,0.75,0.6,0.014359792580773831,0.01616161616161616,Sony,bestbuy.com&amazon.com,582,1,0.8,4,406
1,0.75,0.6296296296296297,0.8947368421052632,0.7391304347826088,0.019920501803644047,0.01818181818181818,Sony,bestbuy.com&amazon.com,582,1,0.8,4,406
2,0.75,0.5909090909090909,0.6190476190476191,0.6046511627906977,0.01327416251030908,0.014814814814814815,Sony,bestbuy.com&amazon.com,582,1,0.8,4,406
3,0.75,0.6363636363636364,1.0,0.7777777777777778,0.017128874388254486,0.014814814814814815,Sony,bestbuy.com&amazon.com,582,1,0.8,4,406
4,0.75,0.5909090909090909,0.6842105263157895,0.6341463414634148,0.013930293580250306,0.014814814814814815,Sony,bestbuy.com&amazon.com,582,1,0.8,4,406
Average,Optimal,0.5895622895622895,0.7895989974937343,0.6711411433628998,0.01572272497264635,0.01575757575757576,Sony,bestbuy.com&amazon.com,582,1,0.8,4,406
0,0.75,1.0,1.0,1.0,1.0,1.0,Sony,newegg.com&amazon.com,1,582,0.4,1,1
1,1.5,1.0,1.0,1.0,1.0,1.0,Sony,newegg.com&amazon.com,1,582,0.4,1,1
2,0.75,0.0,0.0,0.0,0.0,1.0,Sony,newegg.com&amazon.com,1,582,0.4,1,1
3,0.75,0.0,0.0,0.0,0.0,1.0,Sony,newegg.com&amazon.com,1,582,0.4,1,1
4,0.75,1.0,1.0,1.0,1.0,1.0,Sony,newegg.com&amazon.com,1,582,0.4,1,1
Average,Optimal,0.6,0.6,0.6,0.6,1.0,Sony,newegg.com&amazon.com,1,582,0.4,1,1
0,0.75,1.0,1.0,1.0,1.0,1.0,Sony,newegg.com&amazon.com,1,582,0.6,1,1
1,1.5,1.0,1.0,1.0,1.0,1.0,Sony,newegg.com&amazon.com,1,582,0.6,1,1
2,0.75,0.0,0.0,0.0,0.0,1.0,Sony,newegg.com&amazon.com,1,582,0.6,1,1
3,0.75,0.0,0.0,0.0,0.0,1.0,Sony,newegg.com&amazon.com,1,582,0.6,1,1
4,0.75,1.0,1.0,1.0,1.0,1.0,Sony,newegg.com&amazon.com,1,582,0.6,1,1
Average,Optimal,0.6,0.6,0.6,0.6,1.0,Sony,newegg.com&amazon.com,1,582,0.6,1,1
0,0.75,1.0,1.0,1.0,1.0,1.0,Sony,newegg.com&amazon.com,1,582,0.8,1,1
1,1.5,1.0,1.0,1.0,1.0,1.0,Sony,newegg.com&amazon.com,1,582,0.8,1,1
2,0.75,0.0,0.0,0.0,0.0,1.0,Sony,newegg.com&amazon.com,1,582,0.8,1,1
3,0.75,0.0,0.0,0.0,0.0,1.0,Sony,newegg.com&amazon.com,1,582,0.8,1,1
4,0.75,1.0,1.0,1.0,1.0,1.0,Sony,newegg.com&amazon.com,1,582,0.8,1,1
Average,Optimal,0.6,0.6,0.6,0.6,1.0,Sony,newegg.com&amazon.com,1,582,0.8,1,1
0,0.75,1.0,1.0,1.0,0.23076923076923078,0.16666666666666666,Sony,newegg.com&amazon.com,6,97,0.4,2,2
1,1.5,0.6666666666666666,1.0,0.8,0.46153846153846156,0.5,Sony,newegg.com&amazon.com,6,97,0.4,2,2
2,0.75,0.5,1.0,0.6666666666666666,0.27272727272727276,0.3333333333333333,Sony,newegg.com&amazon.com,6,97,0.4,2,2
3,0.75,1.0,1.0,1.0,0.23076923076923078,0.16666666666666666,Sony,newegg.com&amazon.com,6,97,0.4,2,2
4,0.75,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,Sony,newegg.com&amazon.com,6,97,0.4,2,2
Average,Optimal,0.8333333333333333,1.0,0.8933333333333333,0.3248751248751249,0.3,Sony,newegg.com&amazon.com,6,97,0.4,2,2
0,0.75,1.0,1.0,1.0,0.23076923076923078,0.16666666666666666,Sony,newegg.com&amazon.com,6,97,0.6,2,2
1,1.5,0.6666666666666666,1.0,0.8,0.46153846153846156,0.5,Sony,newegg.com&amazon.com,6,97,0.6,2,2
2,0.75,0.5,1.0,0.6666666666666666,0.27272727272727276,0.3333333333333333,Sony,newegg.com&amazon.com,6,97,0.6,2,2
3,0.75,1.0,1.0,1.0,0.23076923076923078,0.16666666666666666,Sony,newegg.com&amazon.com,6,97,0.6,2,2
4,0.75,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,Sony,newegg.com&amazon.com,6,97,0.6,2,2
Average,Optimal,0.8333333333333333,1.0,0.8933333333333333,0.3248751248751249,0.3,Sony,newegg.com&amazon.com,6,97,0.6,2,2
0,0.75,1.0,1.0,1.0,0.23076923076923078,0.16666666666666666,Sony,newegg.com&amazon.com,6,97,0.8,2,2
1,1.5,0.6666666666666666,1.0,0.8,0.46153846153846156,0.5,Sony,newegg.com&amazon.com,6,97,0.8,2,2
2,0.75,0.5,1.0,0.6666666666666666,0.27272727272727276,0.3333333333333333,Sony,newegg.com&amazon.com,6,97,0.8,2,2
3,0.75,1.0,1.0,1.0,0.23076923076923078,0.16666666666666666,Sony,newegg.com&amazon.com,6,97,0.8,2,2
4,0.75,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,Sony,newegg.com&amazon.com,6,97,0.8,2,2
Average,Optimal,0.8333333333333333,1.0,0.8933333333333333,0.3248751248751249,0.3,Sony,newegg.com&amazon.com,6,97,0.8,2,2
0,0.75,0.6666666666666666,0.7142857142857143,0.689655172413793,0.015503875968992248,0.015151515151515152,Sony,newegg.com&amazon.com,97,6,0.4,1,638
1,0.75,0.7647058823529411,0.8125,0.787878787878788,0.020075279386212133,0.01717171717171717,Sony,newegg.com&amazon.com,97,6,0.4,1,638
2,0.75,0.6,0.9230769230769231,0.7272727272727274,0.021750075521095567,0.020202020202020204,Sony,newegg.com&amazon.com,97,6,0.4,1,638
3,1.0,0.5294117647058824,0.75,0.6206896551724139,0.01577572577503838,0.01717171717171717,Sony,newegg.com&amazon.com,97,6,0.4,1,638
4,1.0,0.5357142857142857,0.8823529411764706,0.6666666666666667,0.027729768273036987,0.028282828282828285,Sony,newegg.com&amazon.com,97,6,0.4,1,638
Average,Optimal,0.6192997198879551,0.8164431157078216,0.6984326018808777,0.020166944984875063,0.019595959595959597,Sony,newegg.com&amazon.com,97,6,0.4,1,638
0,0.75,0.6666666666666666,0.7142857142857143,0.689655172413793,0.015503875968992248,0.015151515151515152,Sony,newegg.com&amazon.com,97,6,0.6,1,584
1,0.75,0.7647058823529411,0.8125,0.787878787878788,0.020075279386212133,0.01717171717171717,Sony,newegg.com&amazon.com,97,6,0.6,1,584
2,0.75,0.6,0.9230769230769231,0.7272727272727274,0.021750075521095567,0.020202020202020204,Sony,newegg.com&amazon.com,97,6,0.6,1,584
3,1.0,0.5294117647058824,0.75,0.6206896551724139,0.01577572577503838,0.01717171717171717,Sony,newegg.com&amazon.com,97,6,0.6,1,584
4,1.0,0.5357142857142857,0.8823529411764706,0.6666666666666667,0.027729768273036987,0.028282828282828285,Sony,newegg.com&amazon.com,97,6,0.6,1,584
Average,Optimal,0.6192997198879551,0.8164431157078216,0.6984326018808777,0.020166944984875063,0.019595959595959597,Sony,newegg.com&amazon.com,97,6,0.6,1,584
0,0.75,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.01569365976145637,0.014799154334038054,Sony,newegg.com&amazon.com,97,6,0.8,4,176
1,0.75,0.8666666666666667,0.9285714285714286,0.896551724137931,0.02113721261173122,0.015856236786469344,Sony,newegg.com&amazon.com,97,6,0.8,4,176
2,0.75,0.7222222222222222,0.9285714285714286,0.8125000000000001,0.02292550091440745,0.019027484143763214,Sony,newegg.com&amazon.com,97,6,0.8,4,176
3,0.75,0.5,0.8461538461538461,0.6285714285714286,0.021554539516655778,0.023255813953488372,Sony,newegg.com&amazon.com,97,6,0.8,4,176
4,0.75,0.6875,0.7857142857142857,0.7333333333333334,0.018393483741021777,0.016913319238900635,Sony,newegg.com&amazon.com,97,6,0.8,4,176
Average,Optimal,0.6981349206349207,0.8406593406593407,0.7570484400656815,0.01994087930905452,0.017970401691331923,Sony,newegg.com&amazon.com,97,6,0.8,4,176
0,0.75,0.6666666666666666,0.7142857142857143,0.689655172413793,0.015503875968992248,0.015151515151515152,Sony,newegg.com&amazon.com,194,3,0.4,1,638
1,0.75,0.7647058823529411,0.8125,0.787878787878788,0.020075279386212133,0.01717171717171717,Sony,newegg.com&amazon.com,194,3,0.4,1,638
2,0.75,0.6,0.9230769230769231,0.7272727272727274,0.021750075521095567,0.020202020202020204,Sony,newegg.com&amazon.com,194,3,0.4,1,638
3,1.0,0.5294117647058824,0.75,0.6206896551724139,0.01577572577503838,0.01717171717171717,Sony,newegg.com&amazon.com,194,3,0.4,1,638
4,1.0,0.5357142857142857,0.8823529411764706,0.6666666666666667,0.027729768273036987,0.028282828282828285,Sony,newegg.com&amazon.com,194,3,0.4,1,638
Average,Optimal,0.6192997198879551,0.8164431157078216,0.6984326018808777,0.020166944984875063,0.019595959595959597,Sony,newegg.com&amazon.com,194,3,0.4,1,638
0,0.75,0.6666666666666666,0.7142857142857143,0.689655172413793,0.015503875968992248,0.015151515151515152,Sony,newegg.com&amazon.com,194,3,0.6,1,584
1,0.75,0.7647058823529411,0.8125,0.787878787878788,0.020075279386212133,0.01717171717171717,Sony,newegg.com&amazon.com,194,3,0.6,1,584
2,0.75,0.6,0.9230769230769231,0.7272727272727274,0.021750075521095567,0.020202020202020204,Sony,newegg.com&amazon.com,194,3,0.6,1,584
3,1.0,0.5294117647058824,0.75,0.6206896551724139,0.01577572577503838,0.01717171717171717,Sony,newegg.com&amazon.com,194,3,0.6,1,584
4,1.0,0.5357142857142857,0.8823529411764706,0.6666666666666667,0.027729768273036987,0.028282828282828285,Sony,newegg.com&amazon.com,194,3,0.6,1,584
Average,Optimal,0.6192997198879551,0.8164431157078216,0.6984326018808777,0.020166944984875063,0.019595959595959597,Sony,newegg.com&amazon.com,194,3,0.6,1,584
0,0.75,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.01569365976145637,0.014799154334038054,Sony,newegg.com&amazon.com,194,3,0.8,4,176
1,0.75,0.8666666666666667,0.9285714285714286,0.896551724137931,0.02113721261173122,0.015856236786469344,Sony,newegg.com&amazon.com,194,3,0.8,4,176
2,0.75,0.7222222222222222,0.9285714285714286,0.8125000000000001,0.02292550091440745,0.019027484143763214,Sony,newegg.com&amazon.com,194,3,0.8,4,176
3,0.75,0.5,0.8461538461538461,0.6285714285714286,0.021554539516655778,0.023255813953488372,Sony,newegg.com&amazon.com,194,3,0.8,4,176
4,0.75,0.6875,0.7857142857142857,0.7333333333333334,0.018393483741021777,0.016913319238900635,Sony,newegg.com&amazon.com,194,3,0.8,4,176
Average,Optimal,0.6981349206349207,0.8406593406593407,0.7570484400656815,0.01994087930905452,0.017970401691331923,Sony,newegg.com&amazon.com,194,3,0.8,4,176
0,0.75,0.6666666666666666,0.7142857142857143,0.689655172413793,0.015503875968992248,0.015151515151515152,Sony,newegg.com&amazon.com,582,1,0.4,1,638
1,0.75,0.7647058823529411,0.8125,0.787878787878788,0.020075279386212133,0.01717171717171717,Sony,newegg.com&amazon.com,582,1,0.4,1,638
2,0.75,0.6,0.9230769230769231,0.7272727272727274,0.021750075521095567,0.020202020202020204,Sony,newegg.com&amazon.com,582,1,0.4,1,638
3,1.0,0.5294117647058824,0.75,0.6206896551724139,0.01577572577503838,0.01717171717171717,Sony,newegg.com&amazon.com,582,1,0.4,1,638
4,1.0,0.5357142857142857,0.8823529411764706,0.6666666666666667,0.027729768273036987,0.028282828282828285,Sony,newegg.com&amazon.com,582,1,0.4,1,638
Average,Optimal,0.6192997198879551,0.8164431157078216,0.6984326018808777,0.020166944984875063,0.019595959595959597,Sony,newegg.com&amazon.com,582,1,0.4,1,638
0,0.75,0.6666666666666666,0.7142857142857143,0.689655172413793,0.015503875968992248,0.015151515151515152,Sony,newegg.com&amazon.com,582,1,0.6,1,584
1,0.75,0.7647058823529411,0.8125,0.787878787878788,0.020075279386212133,0.01717171717171717,Sony,newegg.com&amazon.com,582,1,0.6,1,584
2,0.75,0.6,0.9230769230769231,0.7272727272727274,0.021750075521095567,0.020202020202020204,Sony,newegg.com&amazon.com,582,1,0.6,1,584
3,1.0,0.5294117647058824,0.75,0.6206896551724139,0.01577572577503838,0.01717171717171717,Sony,newegg.com&amazon.com,582,1,0.6,1,584
4,1.0,0.5357142857142857,0.8823529411764706,0.6666666666666667,0.027729768273036987,0.028282828282828285,Sony,newegg.com&amazon.com,582,1,0.6,1,584
Average,Optimal,0.6192997198879551,0.8164431157078216,0.6984326018808777,0.020166944984875063,0.019595959595959597,Sony,newegg.com&amazon.com,582,1,0.6,1,584
0,0.75,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.01569365976145637,0.014799154334038054,Sony,newegg.com&amazon.com,582,1,0.8,4,176
1,0.75,0.8666666666666667,0.9285714285714286,0.896551724137931,0.02113721261173122,0.015856236786469344,Sony,newegg.com&amazon.com,582,1,0.8,4,176
2,0.75,0.7222222222222222,0.9285714285714286,0.8125000000000001,0.02292550091440745,0.019027484143763214,Sony,newegg.com&amazon.com,582,1,0.8,4,176
3,0.75,0.5,0.8461538461538461,0.6285714285714286,0.021554539516655778,0.023255813953488372,Sony,newegg.com&amazon.com,582,1,0.8,4,176
4,0.75,0.6875,0.7857142857142857,0.7333333333333334,0.018393483741021777,0.016913319238900635,Sony,newegg.com&amazon.com,582,1,0.8,4,176
Average,Optimal,0.6981349206349207,0.8406593406593407,0.7570484400656815,0.01994087930905452,0.017970401691331923,Sony,newegg.com&amazon.com,582,1,0.8,4,176
0,1.0,0.36363636363636365,1.0,0.5333333333333333,0.06108283202221194,0.08088235294117647,Panasonic,bestbuy.com&newegg.com,1,582,0.4,7,13
1,0.75,0.5555555555555556,1.0,0.7142857142857143,0.06801007556675062,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,1,582,0.4,7,13
2,1.0,0.4444444444444444,1.0,0.6153846153846153,0.05840995132504056,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,1,582,0.4,7,13
3,0.75,0.4,1.0,0.5714285714285715,0.05988023952095809,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,1,582,0.4,7,13
4,0.75,0.5,1.0,0.6666666666666666,0.07009345794392523,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,1,582,0.4,7,13
Average,Optimal,0.45272727272727276,1.0,0.6202197802197802,0.06349531127577729,0.07205882352941177,Panasonic,bestbuy.com&newegg.com,1,582,0.4,7,13
0,1.0,0.36363636363636365,1.0,0.5333333333333333,0.06108283202221194,0.08088235294117647,Panasonic,bestbuy.com&newegg.com,1,582,0.6,7,13
1,0.75,0.5555555555555556,1.0,0.7142857142857143,0.06801007556675062,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,1,582,0.6,7,13
2,1.0,0.4444444444444444,1.0,0.6153846153846153,0.05840995132504056,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,1,582,0.6,7,13
3,0.75,0.4,1.0,0.5714285714285715,0.05988023952095809,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,1,582,0.6,7,13
4,0.75,0.5,1.0,0.6666666666666666,0.07009345794392523,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,1,582,0.6,7,13
Average,Optimal,0.45272727272727276,1.0,0.6202197802197802,0.06349531127577729,0.07205882352941177,Panasonic,bestbuy.com&newegg.com,1,582,0.6,7,13
0,1.0,0.36363636363636365,1.0,0.5333333333333333,0.06108283202221194,0.08088235294117647,Panasonic,bestbuy.com&newegg.com,1,582,0.8,7,13
1,0.75,0.5555555555555556,1.0,0.7142857142857143,0.06801007556675062,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,1,582,0.8,7,13
2,1.0,0.4444444444444444,1.0,0.6153846153846153,0.05840995132504056,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,1,582,0.8,7,13
3,0.75,0.4,1.0,0.5714285714285715,0.05988023952095809,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,1,582,0.8,7,13
4,0.75,0.5,1.0,0.6666666666666666,0.07009345794392523,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,1,582,0.8,7,13
Average,Optimal,0.45272727272727276,1.0,0.6202197802197802,0.06349531127577729,0.07205882352941177,Panasonic,bestbuy.com&newegg.com,1,582,0.8,7,13
0,1.0,0.36363636363636365,1.0,0.5333333333333333,0.06108283202221194,0.08088235294117647,Panasonic,bestbuy.com&newegg.com,6,97,0.4,7,13
1,0.75,0.5555555555555556,1.0,0.7142857142857143,0.06801007556675062,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,6,97,0.4,7,13
2,1.0,0.4444444444444444,1.0,0.6153846153846153,0.05840995132504056,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,6,97,0.4,7,13
3,0.75,0.4,1.0,0.5714285714285715,0.05988023952095809,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,6,97,0.4,7,13
4,0.75,0.5,1.0,0.6666666666666666,0.07009345794392523,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,6,97,0.4,7,13
Average,Optimal,0.45272727272727276,1.0,0.6202197802197802,0.06349531127577729,0.07205882352941177,Panasonic,bestbuy.com&newegg.com,6,97,0.4,7,13
0,1.0,0.36363636363636365,1.0,0.5333333333333333,0.06108283202221194,0.08088235294117647,Panasonic,bestbuy.com&newegg.com,6,97,0.6,7,13
1,0.75,0.5555555555555556,1.0,0.7142857142857143,0.06801007556675062,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,6,97,0.6,7,13
2,1.0,0.4444444444444444,1.0,0.6153846153846153,0.05840995132504056,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,6,97,0.6,7,13
3,0.75,0.4,1.0,0.5714285714285715,0.05988023952095809,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,6,97,0.6,7,13
4,0.75,0.5,1.0,0.6666666666666666,0.07009345794392523,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,6,97,0.6,7,13
Average,Optimal,0.45272727272727276,1.0,0.6202197802197802,0.06349531127577729,0.07205882352941177,Panasonic,bestbuy.com&newegg.com,6,97,0.6,7,13
0,1.0,0.36363636363636365,1.0,0.5333333333333333,0.06108283202221194,0.08088235294117647,Panasonic,bestbuy.com&newegg.com,6,97,0.8,7,13
1,0.75,0.5555555555555556,1.0,0.7142857142857143,0.06801007556675062,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,6,97,0.8,7,13
2,1.0,0.4444444444444444,1.0,0.6153846153846153,0.05840995132504056,0.0661764705882353,Panasonic,bestbuy.com&newegg.com,6,97,0.8,7,13
3,0.75,0.4,1.0,0.5714285714285715,0.05988023952095809,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,6,97,0.8,7,13
4,0.75,0.5,1.0,0.6666666666666666,0.07009345794392523,0.07352941176470588,Panasonic,bestbuy.com&newegg.com,6,97,0.8,7,13
Average,Optimal,0.45272727272727276,1.0,0.6202197802197802,0.06349531127577729,0.07205882352941177,Panasonic,bestbuy.com&newegg.com,6,97,0.8,7,13
0,0.75,0.5384615384615384,0.6774193548387096,0.6,0.00850481167916996,0.009523809523809525,Panasonic,bestbuy.com&newegg.com,97,6,0.4,1,3495
1,0.75,0.525,0.6176470588235294,0.5675675675675677,0.008245520821809809,0.009768009768009768,Panasonic,bestbuy.com&newegg.com,97,6,0.4,1,3495
2,0.75,0.42,0.65625,0.5121951219512195,0.009275631380940296,0.01221001221001221,Panasonic,bestbuy.com&newegg.com,97,6,0.4,1,3495
3,1.0,0.43859649122807015,0.7575757575757576,0.5555555555555555,0.011466085010278439,0.01391941391941392,Panasonic,bestbuy.com&newegg.com,97,6,0.4,1,3495
4,0.75,0.5217391304347826,0.7272727272727273,0.6075949367088608,0.01014660807041354,0.011233211233211233,Panasonic,bestbuy.com&newegg.com,97,6,0.4,1,3495
Average,Optimal,0.4887594320248782,0.6872329797021448,0.5685826363566406,0.00952773139252241,0.011330891330891331,Panasonic,bestbuy.com&newegg.com,97,6,0.4,1,3495
0,0.75,0.5384615384615384,0.6774193548387096,0.6,0.00850481167916996,0.009523809523809525,Panasonic,bestbuy.com&newegg.com,97,6,0.6,1,2721
1,0.75,0.525,0.6176470588235294,0.5675675675675677,0.008245520821809809,0.009768009768009768,Panasonic,bestbuy.com&newegg.com,97,6,0.6,1,2721
2,0.75,0.42,0.65625,0.5121951219512195,0.009275631380940296,0.01221001221001221,Panasonic,bestbuy.com&newegg.com,97,6,0.6,1,2721
3,1.0,0.43859649122807015,0.7575757575757576,0.5555555555555555,0.011466085010278439,0.01391941391941392,Panasonic,bestbuy.com&newegg.com,97,6,0.6,1,2721
4,0.75,0.5217391304347826,0.7272727272727273,0.6075949367088608,0.01014660807041354,0.011233211233211233,Panasonic,bestbuy.com&newegg.com,97,6,0.6,1,2721
Average,Optimal,0.4887594320248782,0.6872329797021448,0.5685826363566406,0.00952773139252241,0.011330891330891331,Panasonic,bestbuy.com&newegg.com,97,6,0.6,1,2721
0,0.75,0.5135135135135135,0.7307692307692307,0.6031746031746031,0.009752043387843957,0.010872759330002939,Panasonic,bestbuy.com&newegg.com,97,6,0.8,4,612
1,0.75,0.5135135135135135,0.7037037037037037,0.59375,0.009597819023710357,0.010872759330002939,Panasonic,bestbuy.com&newegg.com,97,6,0.8,4,612
2,0.75,0.46511627906976744,0.6451612903225806,0.5405405405405406,0.010130043451211572,0.012635909491625037,Panasonic,bestbuy.com&newegg.com,97,6,0.8,4,612
3,0.75,0.525,0.7241379310344828,0.6086956521739131,0.010632170109899912,0.011754334410813987,Panasonic,bestbuy.com&newegg.com,97,6,0.8,4,612
4,0.75,0.6388888888888888,0.7666666666666667,0.696969696969697,0.010977140755718847,0.010578900969732588,Panasonic,bestbuy.com&newegg.com,97,6,0.8,4,612
Average,Optimal,0.5312064389971367,0.7140877644993329,0.6086260985717509,0.010217843345676929,0.011342932706435497,Panasonic,bestbuy.com&newegg.com,97,6,0.8,4,612
0,0.75,0.5384615384615384,0.6774193548387096,0.6,0.00850481167916996,0.009523809523809525,Panasonic,bestbuy.com&newegg.com,194,3,0.4,1,3495
1,0.75,0.525,0.6176470588235294,0.5675675675675677,0.008245520821809809,0.009768009768009768,Panasonic,bestbuy.com&newegg.com,194,3,0.4,1,3495
2,0.75,0.42,0.65625,0.5121951219512195,0.009275631380940296,0.01221001221001221,Panasonic,bestbuy.com&newegg.com,194,3,0.4,1,3495
3,1.0,0.43859649122807015,0.7575757575757576,0.5555555555555555,0.011466085010278439,0.01391941391941392,Panasonic,bestbuy.com&newegg.com,194,3,0.4,1,3495
4,0.75,0.5217391304347826,0.7272727272727273,0.6075949367088608,0.01014660807041354,0.011233211233211233,Panasonic,bestbuy.com&newegg.com,194,3,0.4,1,3495
Average,Optimal,0.4887594320248782,0.6872329797021448,0.5685826363566406,0.00952773139252241,0.011330891330891331,Panasonic,bestbuy.com&newegg.com,194,3,0.4,1,3495
0,0.75,0.5384615384615384,0.6774193548387096,0.6,0.00850481167916996,0.009523809523809525,Panasonic,bestbuy.com&newegg.com,194,3,0.6,1,2721
1,0.75,0.525,0.6176470588235294,0.5675675675675677,0.008245520821809809,0.009768009768009768,Panasonic,bestbuy.com&newegg.com,194,3,0.6,1,2721
2,0.75,0.42,0.65625,0.5121951219512195,0.009275631380940296,0.01221001221001221,Panasonic,bestbuy.com&newegg.com,194,3,0.6,1,2721
3,1.0,0.43859649122807015,0.7575757575757576,0.5555555555555555,0.011466085010278439,0.01391941391941392,Panasonic,bestbuy.com&newegg.com,194,3,0.6,1,2721
4,0.75,0.5217391304347826,0.7272727272727273,0.6075949367088608,0.01014660807041354,0.011233211233211233,Panasonic,bestbuy.com&newegg.com,194,3,0.6,1,2721
Average,Optimal,0.4887594320248782,0.6872329797021448,0.5685826363566406,0.00952773139252241,0.011330891330891331,Panasonic,bestbuy.com&newegg.com,194,3,0.6,1,2721
